Mesures MiCS-6814 + SDS011
Date: 2026-03-10 00:14:51
SDS011: /dev/ttyUSB0

0s | CO_V:0.017500V NH3_V:0.576750V CH4_V:0.017250V | CO:0.11ppm NH3:36.05ppm CH4:0.06ppm | PM2.5:10.9ug/m3 PM10:22.0ug/m3
1s | CO_V:0.025375V NH3_V:0.575125V CH4_V:0.016875V | CO:0.19ppm NH3:35.88ppm CH4:0.06ppm | PM2.5:10.9ug/m3 PM10:21.2ug/m3
2s | CO_V:0.024250V NH3_V:0.575375V CH4_V:0.016875V | CO:0.18ppm NH3:35.90ppm CH4:0.06ppm | PM2.5:10.9ug/m3 PM10:21.3ug/m3
3s | CO_V:0.024625V NH3_V:0.575000V CH4_V:0.017125V | CO:0.18ppm NH3:35.86ppm CH4:0.06ppm | PM2.5:10.9ug/m3 PM10:21.3ug/m3
4s | CO_V:0.023500V NH3_V:0.575250V CH4_V:0.016875V | CO:0.17ppm NH3:35.89ppm CH4:0.06ppm | PM2.5:10.8ug/m3 PM10:20.8ug/m3
5s | CO_V:0.024250V NH3_V:0.578125V CH4_V:0.017250V | CO:0.18ppm NH3:36.19ppm CH4:0.06ppm | PM2.5:10.8ug/m3 PM10:21.1ug/m3
6s | CO_V:0.024250V NH3_V:0.578375V CH4_V:0.017250V | CO:0.18ppm NH3:36.22ppm CH4:0.06ppm | PM2.5:11.0ug/m3 PM10:21.6ug/m3
7s | CO_V:0.024625V NH3_V:0.578000V CH4_V:0.017375V | CO:0.18ppm NH3:36.18ppm CH4:0.06ppm | PM2.5:10.9ug/m3 PM10:21.2ug/m3
8s | CO_V:0.023875V NH3_V:0.578250V CH4_V:0.017250V | CO:0.18ppm NH3:36.21ppm CH4:0.06ppm | PM2.5:10.9ug/m3 PM10:21.8ug/m3
9s | CO_V:0.024500V NH3_V:0.578125V CH4_V:0.017250V | CO:0.18ppm NH3:36.19ppm CH4:0.06ppm | PM2.5:10.9ug/m3 PM10:22.0ug/m3
10s | CO_V:0.023875V NH3_V:0.577750V CH4_V:0.017125V | CO:0.18ppm NH3:36.15ppm CH4:0.06ppm | PM2.5:10.9ug/m3 PM10:21.6ug/m3
11s | CO_V:0.024250V NH3_V:0.577875V CH4_V:0.017250V | CO:0.18ppm NH3:36.17ppm CH4:0.06ppm | PM2.5:10.8ug/m3 PM10:21.3ug/m3
12s | CO_V:0.024125V NH3_V:0.578000V CH4_V:0.017250V | CO:0.18ppm NH3:36.18ppm CH4:0.06ppm | PM2.5:11.1ug/m3 PM10:21.7ug/m3
13s | CO_V:0.024875V NH3_V:0.577625V CH4_V:0.017125V | CO:0.19ppm NH3:36.14ppm CH4:0.06ppm | PM2.5:11.1ug/m3 PM10:22.1ug/m3
14s | CO_V:0.023250V NH3_V:0.578500V CH4_V:0.017250V | CO:0.17ppm NH3:36.23ppm CH4:0.06ppm | PM2.5:11.1ug/m3 PM10:22.5ug/m3
15s | CO_V:0.024625V NH3_V:0.578000V CH4_V:0.017250V | CO:0.18ppm NH3:36.18ppm CH4:0.06ppm | PM2.5:11.2ug/m3 PM10:22.4ug/m3
16s | CO_V:0.024625V NH3_V:0.577500V CH4_V:0.017125V | CO:0.18ppm NH3:36.13ppm CH4:0.06ppm | PM2.5:11.1ug/m3 PM10:22.3ug/m3
17s | CO_V:0.024125V NH3_V:0.577750V CH4_V:0.017125V | CO:0.18ppm NH3:36.15ppm CH4:0.06ppm | PM2.5:11.0ug/m3 PM10:22.4ug/m3
18s | CO_V:0.023750V NH3_V:0.577750V CH4_V:0.017125V | CO:0.17ppm NH3:36.15ppm CH4:0.06ppm | PM2.5:11.0ug/m3 PM10:22.8ug/m3
19s | CO_V:0.024750V NH3_V:0.578000V CH4_V:0.017125V | CO:0.19ppm NH3:36.18ppm CH4:0.06ppm | PM2.5:11.0ug/m3 PM10:23.1ug/m3
20s | CO_V:0.024000V NH3_V:0.578125V CH4_V:0.017250V | CO:0.18ppm NH3:36.19ppm CH4:0.06ppm | PM2.5:10.8ug/m3 PM10:22.6ug/m3
21s | CO_V:0.024625V NH3_V:0.578000V CH4_V:0.017250V | CO:0.18ppm NH3:36.18ppm CH4:0.06ppm | PM2.5:10.9ug/m3 PM10:22.5ug/m3
