Mesure complète MiCS6814 + BME690 + SCD41 + SDS011
Date: 2026-03-27 22:17:47
RED_R0=393643.25
OX_R0=12887.26
NH3_R0=144596.18

0s | CO:6.227170895338823 | NO2:0.09044844737191406 | NH3:6.257811453839366 | CO2:1215 | T:22.33 | H:59.607 | P:1017.61 | GAS:4523.4 | PM25:4.8 | PM10:15.6
1s | CO:6.029572638042544 | NO2:0.09129106575456418 | NH3:4.852859873585844 | CO2:1215 | T:22.29 | H:59.563 | P:1017.62 | GAS:4549.8 | PM25:4.9 | PM10:16.1
2s | CO:5.945766121272109 | NO2:0.0921355571427884 | NH3:4.0403406798319965 | CO2:1215 | T:22.26 | H:59.546 | P:1017.62 | GAS:4530.9 | PM25:4.8 | PM10:16.6
3s | CO:5.521073961578007 | NO2:0.0972421906618462 | NH3:2.8761247312674785 | CO2:1215 | T:22.23 | H:59.615 | P:1017.61 | GAS:4568.8 | PM25:4.7 | PM10:16.2
4s | CO:5.807252502340628 | NO2:0.10155038898230775 | NH3:2.6415956162221303 | CO2:1215 | T:22.2 | H:59.648 | P:1017.62 | GAS:4561.2 | PM25:4.6 | PM10:15.3
5s | CO:5.848654235532234 | NO2:0.09489316535061296 | NH3:2.825686320456095 | CO2:1184 | T:22.18 | H:59.757 | P:1017.63 | GAS:4568.8 | PM25:4.6 | PM10:14.9
6s | CO:5.807252502340628 | NO2:0.09553237821091226 | NH3:2.5493228687353198 | CO2:1184 | T:22.15 | H:59.839 | P:1017.63 | GAS:4591.9 | PM25:4.6 | PM10:14.9
7s | CO:5.807252502340628 | NO2:0.09638632896700176 | NH3:2.340035777017038 | CO2:1184 | T:22.13 | H:59.86 | P:1017.63 | GAS:4576.5 | PM25:4.6 | PM10:14.5
8s | CO:5.642945612954741 | NO2:0.10372271747252633 | NH3:1.7411765086487785 | CO2:1184 | T:22.11 | H:59.956 | P:1017.62 | GAS:4568.8 | PM25:4.6 | PM10:14.6
9s | CO:5.862483797001973 | NO2:0.09767084011690466 | NH3:2.1007807446669937 | CO2:1184 | T:22.09 | H:60.028 | P:1017.62 | GAS:4591.9 | PM25:4.6 | PM10:14.4
10s | CO:5.807252502340628 | NO2:0.09553237821091226 | NH3:2.1661839108087846 | CO2:1177 | T:22.07 | H:59.999 | P:1017.62 | GAS:4584.2 | PM25:4.6 | PM10:15.2
11s | CO:5.387018461426287 | NO2:0.10328727186876387 | NH3:1.619997631632382 | CO2:1177 | T:22.05 | H:60.096 | P:1017.63 | GAS:4591.9 | PM25:4.6 | PM10:15.4
13s | CO:5.602192730052013 | NO2:0.100901071571024 | NH3:1.7220310847442275 | CO2:1177 | T:22.04 | H:60.119 | P:1017.64 | GAS:4584.2 | PM25:4.6 | PM10:15.6
14s | CO:5.467280723420023 | NO2:0.10920753834094055 | NH3:1.4921597705747578 | CO2:1177 | T:22.02 | H:60.278 | P:1017.63 | GAS:4588.0 | PM25:4.7 | PM10:15.8
15s | CO:5.6565586300288615 | NO2:0.09852958026923542 | NH3:1.7964463370762298 | CO2:1177 | T:22.01 | H:60.4 | P:1017.62 | GAS:4584.2 | PM25:4.7 | PM10:16.0
16s | CO:5.534557979142119 | NO2:0.1061264782424754 | NH3:1.434275797391554 | CO2:1148 | T:21.99 | H:60.434 | P:1017.62 | GAS:4599.6 | PM25:4.6 | PM10:15.9
17s | CO:5.862483797001973 | NO2:0.09852958026923542 | NH3:1.776764723791947 | CO2:1148 | T:21.97 | H:60.605 | P:1017.62 | GAS:4595.7 | PM25:4.5 | PM10:15.2
18s | CO:5.765981009898633 | NO2:0.09895967258270302 | NH3:1.6381456569123516 | CO2:1148 | T:21.96 | H:60.766 | P:1017.62 | GAS:4591.9 | PM25:4.5 | PM10:14.7
